subject,count,link
"african americans--education (higher)",2,"https://she-changed-world.cb.ncpedia.org/browse.html#african%20americans--education%20(higher)"
"universities and colleges--north carolina--pictorial works",2,"https://she-changed-world.cb.ncpedia.org/browse.html#universities%20and%20colleges--north%20carolina--pictorial%20works"
"north carolina college for women--pictorial works",2,"https://she-changed-world.cb.ncpedia.org/browse.html#north%20carolina%20college%20for%20women--pictorial%20works"
"college publications--north carolina",1,"https://she-changed-world.cb.ncpedia.org/browse.html#college%20publications--north%20carolina"
"women's health services--north carolina",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women's%20health%20services--north%20carolina"
"women--diseases--north carolina",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women--diseases--north%20carolina"
"women--health and hygiene--north carolina",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women--health%20and%20hygiene--north%20carolina"
"working class women--north carolina",1,"https://she-changed-world.cb.ncpedia.org/browse.html#working%20class%20women--north%20carolina"
"wages--women--north carolina",1,"https://she-changed-world.cb.ncpedia.org/browse.html#wages--women--north%20carolina"
"women--employment--north carolina",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women--employment--north%20carolina"
"women--north carolina--statistics",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women--north%20carolina--statistics"
"north carolina--history--societies, etc.--periodicals",1,"https://she-changed-world.cb.ncpedia.org/browse.html#north%20carolina--history--societies,%20etc.--periodicals"
"north carolina--history--periodicals",1,"https://she-changed-world.cb.ncpedia.org/browse.html#north%20carolina--history--periodicals"
"old state library collection",1,"https://she-changed-world.cb.ncpedia.org/browse.html#old%20state%20library%20collection"
"carroll, elizabeth delia dixon, -1934",1,"https://she-changed-world.cb.ncpedia.org/browse.html#carroll,%20elizabeth%20delia%20dixon,%20-1934"
"hobbs, mary mendenhall, 1852--1930",1,"https://she-changed-world.cb.ncpedia.org/browse.html#hobbs,%20mary%20mendenhall,%201852--1930"
"women--north carolina--history",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women--north%20carolina--history"
"women--united states--history",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women--united%20states--history"
"women legislators--north carolina--biography",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women%20legislators--north%20carolina--biography"
"women--north carolina--awards",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women--north%20carolina--awards"
"north carolina council for women--awards",1,"https://she-changed-world.cb.ncpedia.org/browse.html#north%20carolina%20council%20for%20women--awards"
"edenton (n.c.)--description and travel",1,"https://she-changed-world.cb.ncpedia.org/browse.html#edenton%20(n.c.)--description%20and%20travel"
"monuments",1,"https://she-changed-world.cb.ncpedia.org/browse.html#monuments"
"statues--north carolina--raleigh",1,"https://she-changed-world.cb.ncpedia.org/browse.html#statues--north%20carolina--raleigh"
"judaculla rock (n.c.)",1,"https://she-changed-world.cb.ncpedia.org/browse.html#judaculla%20rock%20(n.c.)"
"southern pines (n.c.)--description and travel",1,"https://she-changed-world.cb.ncpedia.org/browse.html#southern%20pines%20(n.c.)--description%20and%20travel"
"henderson county (n.c.)",1,"https://she-changed-world.cb.ncpedia.org/browse.html#henderson%20county%20(n.c.)"
"women--north carolina--social conditions",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women--north%20carolina--social%20conditions"
"confederate states of america--social conditions",1,"https://she-changed-world.cb.ncpedia.org/browse.html#confederate%20states%20of%20america--social%20conditions"
"tryon county (n.c.)--history",1,"https://she-changed-world.cb.ncpedia.org/browse.html#tryon%20county%20(n.c.)--history"
"canning and preserving",1,"https://she-changed-world.cb.ncpedia.org/browse.html#canning%20and%20preserving"
"canneries",1,"https://she-changed-world.cb.ncpedia.org/browse.html#canneries"
"united states. army. american expeditionary forces",1,"https://she-changed-world.cb.ncpedia.org/browse.html#united%20states.%20army.%20american%20expeditionary%20forces"
